BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_DCACHE_ACCESS,L1_DCACHE_REFILL
1024,84549.36,418102306,985170343,312840016,180201
1024,96028.71,409348047,984319908,312702614,242131
1024,95128.09,412408364,985110847,312926143,95260
1024,95903.59,409827855,984605271,312693278,11064
1024,95908.47,409711732,983924675,312564399,217619
1024,93131.94,409213512,984423727,312664626,311834
2048,180744.75,206468000,496945307,159465941,142272
2048,182345.04,206247024,496650525,159454719,86162
2048,130838.78,248876585,497835640,159792547,192421
2048,177271.42,220116638,497246550,159555440,94484
2048,183425.70,206111700,497092798,159457522,9772
2048,190295.36,206549993,496903839,159472406,199299
4096,357068.32,110051009,266279942,86761793,269125
4096,324096.31,110088903,266423054,86832329,191410
4096,319447.22,110202577,266264823,86775331,157682
4096,323865.19,109957116,266426627,86844308,84296
4096,319176.63,109944992,266212082,86764460,177867
4096,325996.09,109984237,266238472,86758520,71479
8192,692130.41,56746388,137853430,46541473,193306
8192,582459.46,56849149,137911890,46573182,176017
8192,585077.49,57022871,137896641,46557688,151229
8192,575207.30,56850622,137934497,46586161,122192
8192,577848.76,56636063,137906743,46530342,146533
8192,688533.37,57059914,137872883,46549765,154075
16384,919918.95,30321185,73666695,26442041,233485
16384,1293177.01,30356837,73601844,26414649,205437
16384,910441.21,30405291,73676784,26439355,217221
16384,948792.30,30321384,73659136,26445486,157137
16384,939456.13,30642227,73970088,26534776,236656
16384,1244585.93,30340447,73623439,26436542,170520
32768,1855768.29,17486851,41525436,16376231,234990
32768,1500960.62,17429546,41554117,16378956,227726
32768,1503401.46,17383013,41538403,16372440,227089
32768,1417650.01,17286453,41542919,16366169,236662
32768,1863099.24,17533064,41576345,16387770,234586
32768,1423906.21,17355332,41553935,16377369,250094
65536,1703220.30,14943768,34544500,14181051,279704
65536,1644219.12,15027523,34531177,14188861,275548
65536,1626697.42,15047379,34495200,14164045,279674
65536,1732877.14,14911368,34396225,14140981,272588
65536,1737245.92,14910372,34534017,14190509,277287
65536,1744621.70,14814147,34379847,14130109,282252
131072,1910397.12,13729513,27444189,11958657,327613
131072,1777581.02,13593735,27514398,11978044,318635
131072,1912552.53,13315763,27397418,11947089,323858
131072,1790528.14,13544599,27444835,11952024,324583
131072,2792619.93,14012247,27358532,11929783,321100
131072,1930661.54,13181038,27382939,11936551,325916
262144,1175749.74,23261092,25837230,11418475,365915
262144,955559.46,41008617,25991428,11473464,388244
262144,845785.09,42630507,26045252,11486807,389670
262144,1104522.22,24071214,26151229,11506604,366407
262144,1262773.93,21573097,25842331,11418275,356507
262144,899043.93,32905446,25902058,11438110,384527
524288,577033.41,62621431,26007783,11461532,410403
524288,693813.37,53883315,25745832,11374467,403832
524288,685167.53,49189085,25722754,11367687,402657
524288,687032.89,46104793,25674011,11349831,401376
524288,685005.16,44272496,25708112,11361420,399418
524288,642433.65,48783780,25738518,11371369,401030
1048576,472346.08,83136260,27359670,11842487,433081
1048576,459202.37,71826211,27378855,11850144,429089
1048576,471592.23,69689941,27402282,11860758,428122
1048576,485821.68,68754903,27368587,11846173,426807
1048576,502433.66,64602915,27350294,11844464,427592
1048576,377632.71,88817231,27493471,11903236,441926
2097152,252560.96,95277753,31281381,13045631,488068
2097152,242278.62,101112177,30750878,12878960,494161
2097152,339989.85,82589040,30767791,12873245,480086
2097152,353902.33,102454169,30856404,12891012,477498
2097152,314207.90,112256022,30670670,12816787,482363
2097152,322828.87,105125174,30734460,12839289,480821
4194304,310820.95,111243597,39831128,15549395,563618
4194304,287472.51,123629494,39931744,15593792,566402
4194304,281103.49,116887518,40625278,15819157,579692
4194304,284094.10,126068583,40679420,15816354,564819
4194304,283340.67,120839359,40035344,15630888,566321
4194304,287080.93,121867118,40057139,15619829,568374
8388608,275466.34,129180433,58518147,21120237,699673
8388608,269985.42,132378887,58302214,21050258,690875
8388608,275189.68,130975608,58949816,21259798,678652
8388608,274069.35,132678428,59136378,21313006,684416
8388608,272096.92,131202360,59223655,21347948,687101
8388608,275919.16,128811492,58937311,21240595,679696
16777216,228854.95,157272992,96355957,32399267,950704
16777216,220628.08,138931575,96617486,32517034,935270
16777216,286384.22,131512135,96087601,32371234,930926
16777216,323725.28,114557911,96064548,32310576,910322
16777216,321782.89,110172604,95693168,32199006,927190
16777216,289121.70,124707099,95753949,32226057,927905
