BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L2_ACCESS,L2_MISS
1024,1094641.84,35784068,75239555,24353206,179878
1024,870979.64,35484548,75320918,24379073,188602
1024,817299.07,35711065,75424552,24430035,174363
1024,823508.91,35581022,75273597,24360980,183343
1024,873331.19,36633028,75439816,24402326,213607
1024,804462.75,35686067,75301744,24382389,185888
2048,1297800.26,19748131,40181088,13833310,160511
2048,1339642.76,19705163,40232712,13853815,156516
2048,1312384.89,20588644,40321985,13891326,191939
2048,1353606.70,19481444,40097387,13793362,152588
2048,1423526.90,19880823,40307626,13924026,137133
2048,761651.04,23968207,50112075,16777417,183511
4096,866016.14,18010491,37582565,12995268,161506
4096,868089.41,17869253,37438323,12957955,158752
4096,894088.89,17527844,37734730,13054712,140639
4096,940733.86,17457795,35797810,12482108,146844
4096,903092.97,18456186,36426267,12681357,167299
4096,792844.59,19917703,39040106,13452716,166409
8192,784711.34,18865578,34258831,12226949,180035
8192,822877.03,17272448,34154822,11985373,189247
8192,890750.18,21901390,36181966,13222252,196579
8192,1077222.15,26595108,42280232,15811333,229491
8192,752330.48,19706505,34319276,12048827,211795
8192,713205.89,20561641,34331440,12033917,188660
16384,876408.22,33655652,51906679,19380000,265136
16384,544899.23,28498249,38882089,14248299,275253
16384,782712.61,18708085,31818869,11513578,254831
16384,771165.06,42134893,60242698,22400225,278422
16384,773096.95,24202867,35774944,13062959,273055
16384,736106.64,22646035,32259933,11676743,259526
32768,1058542.97,17708647,27686941,10058479,374162
32768,832029.37,17234699,27548239,9995370,363634
32768,854560.51,16783435,27528836,9992133,370704
32768,1091697.26,14035060,27646786,10023560,366064
32768,823004.07,19616205,31360313,11497017,370738
32768,935694.55,21503436,38081922,14056904,363822
65536,990851.95,16196847,28320184,10486423,399785
65536,978988.81,15237434,26335003,9705260,389404
65536,826560.17,34172836,54893870,20514383,429413
65536,838176.16,32872217,49076795,18386108,466646
65536,976296.65,20832403,33863834,12711618,423771
65536,1051941.58,21202136,39149077,14740070,409617
131072,964169.79,16345715,27388978,10171406,440814
131072,911772.63,15739454,26237065,9723472,421199
131072,1019832.85,20024211,26459584,9777396,453396
131072,927048.02,16902706,26401161,9766863,428425
131072,892962.67,17095841,26442995,9768445,482116
131072,984551.46,17287184,26179947,9699704,476645
262144,903180.60,17673436,27098834,9965690,453758
262144,868331.41,18197716,26831355,9884872,469655
262144,889991.23,16743152,26788042,9863813,425489
262144,883560.67,17225201,27235888,10030001,443529
262144,906197.31,16660372,26825425,9890917,423497
262144,878647.71,17319162,26812542,9889844,449378
524288,868425.12,18071826,28053656,10266962,432167
524288,828483.58,19225336,27604562,10155319,449313
524288,903598.49,19267374,27736485,10133798,438505
524288,864447.24,18948262,27328515,10031347,446551
524288,850235.78,19793149,27830667,10176668,452816
524288,785172.94,22161715,27879830,10213957,454331
1048576,677694.97,32548124,29620947,10761056,453086
1048576,540515.30,38440035,29958185,10872496,458328
1048576,574974.59,38254859,29769719,10833995,469849
1048576,569034.08,37886492,30460169,11062196,454317
1048576,601411.87,36649043,30558230,11077385,463934
1048576,598766.25,36281824,29844302,10879656,462987
2097152,642772.88,32222449,32470135,11592258,435624
2097152,622833.53,32301655,31816259,11353150,431990
2097152,671553.55,35212180,32326019,11532180,442531
2097152,668385.77,34920125,32005840,11424357,433302
2097152,642403.20,32908541,32169527,11470659,433581
2097152,662056.28,27920961,31425912,11201155,422535
4194304,587661.64,37664386,38324351,13336672,438884
4194304,576913.70,45035887,39192148,13696336,465951
4194304,552696.71,40547886,39312955,13733090,484903
4194304,535932.70,41109424,39451018,13784307,469662
4194304,525925.16,41537888,38454413,13412160,491850
4194304,511512.75,43847641,39218646,13647973,485906
8388608,469598.42,46859954,51325505,17308609,483712
8388608,456188.10,48484409,51189508,17257798,505520
8388608,485432.49,43379809,51704776,17472120,476501
8388608,472154.66,47978067,51372286,17338943,495681
8388608,473189.55,47084296,51370135,17329708,498156
8388608,460057.29,48654785,51799768,17483259,474507
16777216,401724.87,55570250,76218061,24804252,513096
16777216,389127.25,55370154,76288961,24825632,507424
16777216,399390.92,57282555,75925382,24680689,484442
16777216,388123.31,58302790,76588357,24942422,519252
16777216,394508.24,57103541,76466986,24908482,505146
16777216,456902.16,58169904,76096763,24736020,514878
