BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L3D_CACHE_RD,L3D_CACHE_REFILL
1024,813713.48,35625720,75269571,350974,1956
1024,840631.33,35723205,75373299,332984,1372
1024,871636.10,35915434,75456162,377350,2069
1024,817090.60,36208512,75187725,338415,1253
1024,883392.25,35659471,75266321,344112,1437
1024,803421.63,35677616,75259858,333704,1314
2048,1376252.31,19630952,40172266,334608,1630
2048,1340791.81,19591008,40118843,326909,1517
2048,1321229.45,19841399,40170354,326627,1123
2048,1512723.49,19828631,40157528,325636,1194
2048,1249530.40,19742915,40265998,324556,1274
2048,1933933.01,20161359,40307907,320168,1522
4096,1921784.47,12327371,23778644,300793,3694
4096,2820860.43,12797873,23199812,319477,5925
4096,599118.13,27459080,40305725,144148,44892
4096,544380.16,30489879,40799920,154334,54402
4096,552687.02,28663163,42915700,91586,33206
4096,365658.56,29254923,40202200,238536,62936
8192,563263.40,28607107,34392948,86075,35192
8192,547844.76,29645746,34532451,109819,55622
8192,762794.23,34257264,47334144,458062,72631
8192,1475639.87,17304420,31725307,479309,48489
8192,1488539.97,17977843,31926405,500048,59530
8192,1470890.16,17648653,31788945,474677,48459
16384,1255598.71,21424030,37995670,465806,42981
16384,1257513.57,21508694,38167134,525166,68626
16384,1177840.92,21866317,37775775,531479,75395
16384,1217452.83,22238948,38982641,551527,80783
16384,1449429.44,24022047,41429272,529961,72723
16384,1376721.25,22310520,38843046,519502,71160
32768,1151690.02,24258189,42078048,564668,94100
32768,1436509.36,25849552,44415802,471472,46304
32768,1092620.61,22614702,40838755,543935,75507
32768,1155678.16,25478137,42447624,578528,94444
32768,1178556.29,22926155,41290147,502137,58369
32768,1122256.33,24210278,43161680,553743,80514
65536,974407.35,22198919,36854008,610635,102553
65536,997322.25,21020659,35914673,559443,87372
65536,959363.60,20881980,35699774,626888,113407
65536,1093330.35,24187704,44027131,522033,67146
65536,1011258.35,22280361,36971223,508670,65850
65536,958411.74,20582142,33080807,607987,108641
131072,898557.27,16475156,26700621,724601,109299
131072,894718.96,16950421,26553949,750376,111676
131072,870856.76,18294974,27143758,733696,116888
131072,931171.43,15567494,25835158,615883,59706
131072,907984.73,17464439,26109389,627478,68499
131072,916657.39,16242192,26868700,785584,113059
262144,851685.19,18315865,26774167,871153,92027
262144,843995.24,19176652,27034187,975089,125567
262144,900851.93,17393234,26837032,920634,98233
262144,885624.11,17742858,27168758,988029,136186
262144,878351.94,18731999,27231001,946453,110955
262144,871460.80,16574080,26733272,923953,101768
524288,785320.43,21944793,27737879,1005735,139846
524288,764444.85,23744307,28071678,1063326,174145
524288,866569.85,25608543,27846526,1042999,173362
524288,835031.32,18248133,27688378,1025068,117411
524288,838452.36,19117053,27842609,1025168,122633
524288,927451.52,21227113,28018716,1049753,133631
1048576,613461.19,33790605,29256011,1046067,311838
1048576,656756.42,30942894,28896164,988523,250392
1048576,623428.15,33158559,29224363,1008731,280260
1048576,632784.27,32808826,29684967,1055276,279479
1048576,617423.33,32683825,29218678,1022163,278167
1048576,659068.06,29898534,29379115,1061941,270316
2097152,564817.34,37022795,32581731,1108118,359576
2097152,558923.77,39073561,33270427,1058501,341207
2097152,554600.32,39763404,32661434,1038357,332010
2097152,578272.53,37060909,32600580,1015857,326323
2097152,572938.44,38041268,32504353,979549,306323
2097152,575336.38,39164393,33058538,1025347,327330
4194304,547401.54,42058114,38995228,1035021,329881
4194304,527037.69,43745976,39203527,1001431,313879
4194304,503531.50,45326334,40000195,957421,336582
4194304,523192.05,41069732,39323866,1058206,341782
4194304,527944.42,42192435,38592621,983116,310533
4194304,521791.20,42964839,39262087,1074475,346094
8388608,478345.06,47525725,51447883,1061527,328201
8388608,477747.09,46956962,51315782,1031150,317235
8388608,547864.62,49083784,51389229,1077478,349768
8388608,482322.70,47287121,51560678,1122593,357082
8388608,486142.01,46974586,51853445,1051961,332629
8388608,468098.44,47005579,51288454,1102304,350435
16777216,398270.82,56821184,76019664,1092532,329500
16777216,402131.30,56270436,76078402,1120779,331855
16777216,392163.60,58643911,76097741,1046858,307643
16777216,389798.01,59094186,76136673,1117287,328341
16777216,398533.48,57402511,76227170,1106873,330292
16777216,400198.31,56750670,76170838,1111736,327522
