BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,MEM_READ,MEM_WRITE
1024,92469.76,409714310,984634920,189064576,123813579
1024,95873.59,409888613,984516488,189275088,123917492
1024,92616.51,409307611,984611810,188993339,123798474
1024,95048.70,409510246,984671023,189110651,123891222
1024,94350.80,408180668,984589440,189400054,124022706
1024,93755.28,408947383,984615609,189067303,123858826
2048,135430.42,232310199,497743551,96299864,63630725
2048,132432.60,231030848,497679878,96168201,63564867
2048,151426.10,245681814,497551260,96285950,63608692
2048,134727.90,225734385,497474045,96327856,63598945
2048,189176.52,207107830,497388839,96204496,63550716
2048,185898.67,207318286,497064133,96158885,63510319
4096,323950.38,110546600,266472149,52025399,34991893
4096,350752.80,110031020,266387172,52052171,35011200
4096,336472.86,110283744,266490359,51970604,34971581
4096,323370.89,110001633,266401925,51981005,34972163
4096,320707.58,110000152,266403023,51998116,35008134
4096,319797.71,110041467,266404153,51999286,34996732
8192,669188.83,57469124,138052065,27658591,19149136
8192,691144.22,56797503,137919456,27615476,19118355
8192,570039.31,56776320,138013415,27620760,19118798
8192,581843.66,56817417,137956776,27599063,19113831
8192,621137.21,56808359,137955810,27617927,19083527
8192,565275.85,56817178,137960985,27604186,19092134
16384,967289.55,30338411,73731988,15447938,11160843
16384,907489.09,30382761,73702437,15459448,11183041
16384,980584.39,30433526,73641493,15453722,11172168
16384,936659.15,30360751,73741825,15474788,11153234
16384,951421.45,30490730,73767606,15467203,11202917
16384,957835.33,30443705,73712500,15463204,11163075
32768,1503178.33,17411707,41561221,9396980,7205486
32768,1417642.24,17369126,41599931,9408990,7207095
32768,1495047.33,17266352,41547107,9402463,7202930
32768,1518203.50,17395157,41542824,9387340,7192555
32768,1422945.55,17386228,41560049,9389918,7200182
32768,1533917.56,17272717,41564841,9408087,7223547
65536,1756431.50,14948860,34584136,8100605,6352215
65536,1794635.37,14960870,34557461,8101768,6358074
65536,1630560.98,14942107,34534092,8092356,6345884
65536,1787586.53,14891830,34420968,8069817,6335939
65536,1732024.95,14904659,34446651,8073264,6339137
65536,2126510.83,15265441,34554824,8106432,6346688
131072,1113434.01,21433125,28731486,7040383,5658506
131072,990300.10,14312478,27521998,6811223,5496234
131072,1209942.64,16705268,27460581,6806935,5494248
131072,1957759.93,13216503,27392784,6776749,5476568
131072,1809008.67,13699374,27405357,6779305,5478408
131072,1073471.49,20913741,28032844,6930358,5571822
262144,1005935.26,20492458,26325111,6565384,5361485
262144,1894370.17,13821795,26072692,6493109,5325461
262144,1624492.31,15426984,26112604,6496094,5328193
262144,1261897.49,20965710,26308822,6565476,5357430
262144,924217.98,21064348,26188797,6548322,5350380
262144,1305419.72,19920867,26217899,6532310,5342260
524288,712595.34,43406428,26126852,6545969,5356930
524288,755822.25,31451751,26304606,6557071,5382671
524288,698989.01,41361296,26255023,6555010,5373564
524288,838007.59,30983030,26281163,6538236,5375313
524288,746902.00,35936926,25801184,6465589,5310606
524288,616108.85,52544788,25939087,6508376,5331370
1048576,470997.24,73626403,27486768,6778989,5558353
1048576,542579.29,57942812,27594715,6781129,5566696
1048576,467429.35,62261285,27856273,6847743,5607948
1048576,444618.85,69783341,27714967,6809339,5579554
1048576,437403.87,77483723,28077817,6883887,5631388
1048576,424066.77,66950417,27789149,6820202,5589727
2097152,397385.28,84859643,30558944,7271408,5969144
2097152,437330.37,57007443,30958594,7338233,6029972
2097152,345440.88,86049128,30997427,7369383,6046110
2097152,361424.21,75191486,30669339,7300460,6000814
2097152,352501.94,72351178,31399293,7420076,6089045
2097152,329507.69,78320061,31060469,7364982,6044260
4194304,356172.67,76320506,40150576,8937433,7237305
4194304,326965.30,77618348,40152768,8939077,7233699
4194304,280450.98,92391124,40440540,9001003,7284660
4194304,307884.49,113487604,40225819,8952470,7270118
4194304,292572.92,88723695,40174202,8940189,7252918
4194304,288531.09,91897032,40348229,8974348,7269248
8388608,391814.82,87840340,58930682,12181876,9715929
8388608,419032.50,82181624,58682473,12130985,9688372
8388608,450622.84,75616303,58720529,12134419,9676004
8388608,424921.15,78814991,59385076,12261399,9780744
8388608,428253.16,79571242,59172046,12223201,9746033
8388608,434978.74,82663990,58595466,12117376,9674945
16777216,380342.94,92503331,96490292,18667252,14676754
16777216,375780.58,96447010,97367960,18838095,14788735
16777216,379236.78,92171628,96098395,18610206,14625037
16777216,364948.86,95106903,97747190,18876654,14834473
16777216,453466.04,75500640,96746283,18695010,14708736
16777216,480591.44,69368726,96984153,18749095,14739182
