BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_ICACHE_ACCESS,L1_ICACHE_REFILL
1024,499696.64,68730016,170718417,56183997,99861
1024,490160.67,69292294,170772259,56376978,92394
1024,484772.86,69790533,170736041,56128017,91746
1024,471356.70,69983113,170776489,56130319,100211
1024,483680.47,69588648,170757686,56187597,96035
1024,490014.04,68650167,170727140,56206414,83686
2048,945368.06,36899225,90457209,29383643,58683
2048,1056716.27,35817461,90447830,29412905,54353
2048,1040649.01,35576932,90162024,29347626,48085
2048,943827.01,35868012,90449672,29428463,65126
2048,911162.78,35799106,90155859,29323506,49449
2048,881514.61,35766336,90180985,29291736,49848
4096,1428235.58,19373767,49614312,15784321,30596
4096,1386390.91,19484892,49578167,15819059,24434
4096,1345249.23,19431155,49609193,15859582,30099
4096,1395012.28,19411160,49590389,15741804,28090
4096,2022101.27,19395377,49549149,15711756,24595
4096,1327325.58,19399903,49592479,15808045,25286
8192,2213807.89,17674397,46019485,14399282,34093
8192,2180611.67,17978870,46005656,14304618,32083
8192,1557034.69,17520438,46027384,14283665,33698
8192,1552711.68,17591172,46037951,14369781,37873
8192,1599584.11,17699409,46014274,14351146,29489
8192,1543943.34,17839709,46059171,14332881,36936
16384,1449906.32,17035310,44290517,13708111,25865
16384,1519584.01,16943806,44266922,13744752,19577
16384,1474655.14,16971108,44279896,13817002,25035
16384,1552469.15,16834939,44249447,13694890,17843
16384,1533663.48,16970571,44281381,13720899,23566
16384,1764596.74,17260171,44321577,13740557,23544
32768,2271473.90,17099516,43377253,13367943,14424
32768,1435474.12,17021804,43397380,13316473,13250
32768,1426834.51,17151269,43382092,13298757,13474
32768,1495250.64,17021615,43373900,13323037,12380
32768,1538423.59,16991205,43368924,13367156,12370
32768,1588846.15,17127737,43389229,13321688,13860
65536,1576921.02,17484833,43414095,13260714,11462
65536,1500568.60,17521734,43401350,13225163,9254
65536,1398946.73,17523543,43389852,13176419,9204
65536,1338738.82,17644085,43426037,13269687,11435
65536,1798742.37,17661420,43379177,13222657,9349
65536,1439523.71,17510255,43406878,13276047,9570
131072,1480666.70,17621727,43526038,13289605,11924
131072,885692.50,17971916,43845165,13343677,19208
131072,936896.10,17944178,43806719,13341661,14553
131072,1975548.92,17888181,43567189,13332267,13418
131072,1361201.51,17788917,43560564,13257465,13670
131072,1552321.47,17776777,43528257,13234253,11856
262144,1111608.15,18947205,44768739,13693001,18445
262144,774315.01,19269274,44505991,13597457,20983
262144,1327884.43,18378788,44472862,13500491,15230
262144,1367413.80,18536556,44462792,13506862,13172
262144,814960.45,20343145,44501954,13542696,21423
262144,1387481.29,19389006,44493252,13598097,18181
524288,1056093.51,23059300,45632251,13934985,21144
524288,788884.86,23658720,45714328,13953448,29125
524288,775935.27,24621994,45691961,13963852,27137
524288,804166.36,26009596,45819219,14054549,33649
524288,941382.74,25478331,45999182,14100172,23760
524288,803207.70,25186160,45924367,14090720,50676
1048576,519714.50,43381893,48119713,14751391,47006
1048576,496552.79,46051720,48501532,14816910,49644
1048576,491186.00,41603692,48141733,14765195,41508
1048576,386097.39,48674171,48269543,14803807,53783
1048576,531700.78,44882263,48186581,14765753,44205
1048576,466952.28,43142082,48403113,14823974,50142
2097152,355369.76,64881477,53116467,16409647,84046
2097152,638554.38,56423848,52694035,16150193,46096
2097152,385003.28,73251617,52951071,16347994,74619
2097152,412980.15,83134315,52702869,16174527,55037
2097152,435787.43,78226595,52695169,16153148,48652
2097152,487201.73,78543116,52712791,16156259,52051
4194304,287663.64,64157766,62386240,19353007,109000
4194304,359539.95,91335900,61919081,19167763,99940
4194304,382763.78,91057963,61922910,19112397,90421
4194304,341953.07,98989643,61971791,19179389,98048
4194304,362856.53,91110526,61920259,19127105,86198
4194304,353950.83,97553437,61911163,19112608,97706
8388608,267846.06,85130151,80721212,25236178,170560
8388608,277879.60,112456234,80401702,25117416,166333
8388608,295384.67,107927712,80637333,25223308,182422
8388608,297632.99,103809037,81049168,25394279,203585
8388608,330195.12,104618142,80160346,25031237,162294
8388608,319330.35,105079321,80176291,25051877,161452
16777216,259022.80,135923094,117194870,36951893,289392
16777216,176566.02,124099360,117602080,37212949,332914
16777216,608270.69,62350525,116870674,36955574,256917
16777216,436926.14,83126779,117028641,37044517,305990
16777216,322255.79,94728625,117293143,37142565,317010
16777216,303408.17,105563659,117088357,37011162,299892
