BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_ICACHE_ACCESS,L1_ICACHE_REFILL
1024,79707.09,482011606,1105525447,345335728,24334415
1024,79355.04,480964039,1105588454,344987389,24318402
1024,80060.64,480157996,1105253799,345043928,24374609
1024,79965.46,480623196,1105252505,345264064,24298098
1024,79948.50,479989078,1105315278,345134060,24373771
1024,79893.54,479642141,1105221592,344989253,24303482
2048,154712.07,242847573,557360468,173991106,12185073
2048,162442.07,241868501,557274219,173586938,12193489
2048,155345.09,242485899,557419829,173756681,12253181
2048,154122.62,241636161,557352880,173699203,12181244
2048,153693.71,243009848,557441703,174013732,12202875
2048,155174.69,242192721,557446074,173818981,12178524
4096,283304.77,127765715,296623172,92198990,6140760
4096,283217.71,127502340,296610040,92215808,6126422
4096,281624.36,127412626,296638832,92395952,6115983
4096,281473.66,127707829,296566868,92197916,6123175
4096,281146.92,128301308,296632444,92312422,6168827
4096,280743.68,127868916,296615730,92273861,6129928
8192,502135.37,65581514,153051481,47472001,3066893
8192,507252.61,65592316,153002523,47430018,3053680
8192,512188.87,65548508,153033558,47378244,3064825
8192,505028.30,66037336,153048845,47385489,3075767
8192,491401.02,66016883,153028243,47421587,3070447
8192,502563.76,66058253,153068060,47383014,3077795
16384,832969.66,34915046,81204837,24906449,1534205
16384,871175.02,35092622,81267232,24950100,1545721
16384,836773.05,34954451,81309482,25030322,1542702
16384,848007.87,35068547,81272186,24939335,1542560
16384,900387.45,35424960,81491317,24992770,1545732
16384,868709.69,35063411,81291569,24953865,1541592
32768,1328968.91,19595845,45367079,13678573,772151
32768,1400923.69,19584586,45319478,13688889,766395
32768,1247569.60,19603090,45367737,13710274,769085
32768,1341284.74,19596469,45363204,13678334,771645
32768,1361569.19,19620743,45368627,13685708,774301
32768,1335081.30,19530559,45324288,13634453,766123
65536,1560283.13,16634197,37395152,11205338,575910
65536,1507988.87,16743615,37518814,11242568,579480
65536,1555829.94,16691352,37412198,11239382,576606
65536,1556226.72,16717295,37384523,11194810,575185
65536,1601756.05,16717099,37398081,11218001,578318
65536,1483425.35,16515645,37289933,11168329,569932
131072,1754911.70,13899553,29604357,8789075,390538
131072,1930397.57,14134280,29392367,8698485,391192
131072,1753478.77,14496883,29729487,8838538,409590
131072,2044217.24,14974775,29375263,8690056,386370
131072,2553228.68,15004302,29374148,8697229,386298
131072,2247457.08,14292143,29397263,8698713,392007
262144,1901141.27,14560114,27691011,8184361,294790
262144,1724626.90,14500723,27503573,8138979,297089
262144,1992822.43,13969631,27486296,8144071,293803
262144,1785979.18,13788365,27482673,8110537,294896
262144,1975676.26,13367676,27454618,8111523,295058
262144,1744303.41,14312635,27771355,8258763,298618
524288,1285911.87,18970127,26961848,7960301,247095
524288,1234396.18,22049124,26974285,7979057,247637
524288,1107516.48,24632833,27025497,7986045,251680
524288,1214774.77,22227516,27032084,8000062,250515
524288,1208425.09,22180215,27058569,7994092,251250
524288,1199971.27,21689053,27070165,8022050,250262
1048576,934181.28,30472529,28522731,8501974,204045
1048576,960114.21,30235531,28479881,8472703,200648
1048576,966968.42,26952976,28428677,8478012,200540
1048576,991492.15,29157622,28445848,8480283,200955
1048576,989363.33,28298988,28480214,8469850,200580
1048576,955147.22,29474471,28476488,8460572,204042
2097152,822693.71,35141376,31578164,9527399,101064
2097152,803849.24,36403403,31569861,9451008,95593
2097152,800508.79,37167487,31691937,9487532,101258
2097152,819271.59,35913613,31713371,9509973,100072
2097152,835732.11,35092588,31700908,9506578,96203
2097152,837084.97,33721190,31715505,9508849,99019
4194304,690151.26,46070509,41242551,12523807,138030
4194304,684999.13,44384129,41245142,12595758,134117
4194304,693173.28,46154734,41334067,12611827,137985
4194304,692400.21,44794376,41178529,12480642,135923
4194304,702156.12,45816728,41096045,12488070,131623
4194304,771139.51,50875026,41199949,12453588,129515
8388608,609236.65,54350844,59660456,18432225,175081
8388608,637832.37,54088470,59406715,18264936,178102
8388608,601284.92,52320502,59623341,18351166,177533
8388608,598285.40,51953632,59658702,18363880,171575
8388608,605422.44,53493834,59712607,18391361,174547
8388608,595757.81,53878231,59837524,18434853,178760
16777216,502077.41,67988123,97074102,30104194,261840
16777216,495517.63,67539559,96899605,30220918,268030
16777216,550224.19,71313642,97125992,30135444,263350
16777216,497166.31,64127417,96075353,29910812,257744
16777216,494770.82,68697770,97408778,30333597,277670
16777216,495538.46,68351765,97025938,30187272,264339
