BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L3D_CACHE_RD,L3D_CACHE_REFILL
1024,496574.15,68088221,170756897,36524,519
1024,504837.00,68019942,170802339,20845,941
1024,491205.86,68336232,170773288,35712,558
1024,491165.76,67857073,170818046,32823,680
1024,498464.73,68150068,170805063,26675,477
1024,491344.37,68144878,170791197,8575,743
2048,802758.43,35657375,90171477,19137,535
2048,865880.08,35757267,90177246,18785,608
2048,831110.51,35678160,90153672,19336,606
2048,800362.67,35709178,90162619,20051,565
2048,831859.80,35709573,90210473,11288,840
2048,840443.70,35720182,90183163,19408,726
4096,1364291.33,19564369,49622575,11460,1004
4096,1331015.38,19467599,49596466,13918,1003
4096,2008606.60,19445435,49591388,11613,1403
4096,1663520.59,19395451,49590586,11056,805
4096,1352807.60,19451710,49627630,11493,788
4096,1679671.38,19434895,49597438,11526,963
8192,1518496.51,17667782,46184203,25657,1193
8192,1455196.36,17610453,46161420,24828,1071
8192,1486658.25,17674862,46183596,25311,1277
8192,1466306.93,17832628,46184960,26114,1525
8192,1472635.37,17668147,46189135,24839,1265
8192,1522840.03,17690507,46164459,25494,1316
16384,1523228.08,17037916,44474308,34550,2143
16384,1493050.42,16922153,44475274,33501,1955
16384,1502594.54,17419506,44469042,33584,2004
16384,1513174.60,17201667,44457258,34549,1979
16384,1555142.40,16955139,44436013,32237,1546
16384,1512222.86,17028503,44481028,34253,2113
32768,1483352.68,17298786,43621745,46797,3899
32768,1514594.09,17183800,43606148,40581,3112
32768,1504019.57,17268780,43609563,41472,3218
32768,1466544.44,17263761,43613600,40861,3136
32768,1466500.67,17235646,43615699,40152,2999
32768,1559736.84,17187224,43604694,41380,3326
65536,1465191.46,17713026,43665496,64729,4860
65536,1472597.77,17728949,43663702,54239,4688
65536,1476009.94,17736669,43658924,53866,4394
65536,1427326.97,17737997,43664103,55442,4505
65536,1510275.90,17724294,43663216,50229,4276
65536,1396407.94,17701704,43630349,50657,4308
131072,1507696.92,17778229,43745971,86001,6059
131072,1398938.17,17836217,43753315,78231,6127
131072,1461828.46,17829881,43760077,100625,6879
131072,1474420.68,17814030,43749365,102113,5845
131072,1469203.18,17760637,43755829,80471,5879
131072,1382128.05,17809237,43738466,89691,6054
262144,1443266.38,18336333,44712647,337773,11793
262144,1419291.94,18356221,44713448,344183,11421
262144,1334887.30,18392759,44708760,292792,10792
262144,1380840.00,18337153,44724198,349110,9860
262144,1335889.00,18301959,44696064,369174,11867
262144,1403531.34,18286013,44723630,296040,12198
524288,1268999.15,19271631,45840904,546070,28064
524288,1451508.28,19268587,45817393,533251,28449
524288,1811431.30,19332675,45802574,421589,25974
524288,1886867.05,19139936,45795794,519533,15649
524288,1355990.13,19401542,45868284,545253,30664
524288,1280661.15,19413961,45865611,576338,28902
1048576,1408968.93,21643650,48127478,642808,59906
1048576,1301661.44,20181167,48148305,633322,28566
1048576,1301826.15,20368607,48114635,617656,33444
1048576,1305870.80,20238704,48148712,648900,30082
1048576,1254843.26,20212812,48153611,669578,29964
1048576,1129023.38,21721455,48142707,655639,76541
2097152,1083755.98,25335734,52735394,677871,111930
2097152,1009491.25,27097001,52770665,693277,166546
2097152,1024513.52,27606909,52763665,694205,155498
2097152,971730.20,26893225,52758579,698736,176967
2097152,1104355.61,25616438,52767174,678678,113286
2097152,974432.28,28831107,52715951,683150,191101
4194304,751338.21,38822545,61964311,711994,261417
4194304,788669.62,39557172,62024943,710163,261062
4194304,790795.74,38425033,61943520,700146,258304
4194304,774818.85,40101032,61975944,731453,258849
4194304,762456.03,39408270,61971060,711902,255686
4194304,783148.23,38665413,61984061,703314,254854
8388608,659427.46,47756009,80473208,734560,275009
8388608,619373.73,49684828,80385526,728104,274090
8388608,655687.35,48404325,80500525,741093,270936
8388608,662081.25,49916216,80332272,755399,274657
8388608,652588.75,47048389,80273828,785452,274125
8388608,667922.59,46772554,80280059,870986,274252
16777216,516006.78,62704379,117365953,800728,282630
16777216,527884.50,60869980,117157640,768888,284114
16777216,528910.72,61622544,116933049,830353,283053
16777216,550059.00,59716871,116894848,761543,287355
16777216,542733.86,61228962,117432513,797181,285198
16777216,555863.43,60568053,116864371,808134,284372
