BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L2_ACCESS,L2_MISS
1024,481815.70,68041763,170768451,54307186,1938
1024,485490.15,68180797,170756298,54312098,2729
1024,493027.57,67946860,170755121,54338065,2573
1024,492456.75,68291257,170741684,54321409,3194
1024,538178.55,68147134,170775778,54316886,2219
1024,478034.92,68219839,170803416,54373530,2436
2048,808643.48,35728064,90150794,30337144,1411
2048,811616.61,35849918,90181679,30382008,2433
2048,848549.59,35772994,90173740,30319235,1885
2048,825462.82,35697516,90159613,30312821,2541
2048,810296.46,35754222,90190365,30365235,1718
2048,832303.34,35719910,90179317,30316227,1895
4096,1322858.91,19431556,49623382,18281200,7439
4096,1272699.27,19425272,49602372,18246354,10501
4096,1391177.35,19449676,49600261,18280737,1263
4096,1258776.34,19399815,49617543,18270170,2367
4096,1375610.07,19416299,49612373,18254194,1822
4096,1344277.10,19450179,49624767,18260822,1843
8192,1445172.38,17924765,46210192,17205911,65852
8192,1456614.51,17636181,46198965,17189003,13625
8192,1374458.26,17826863,46201788,17208552,51943
8192,1430361.71,17849998,46189742,17202069,73439
8192,1452751.64,17993139,46187492,17212785,70302
8192,1768644.24,18138514,46191906,17215093,125923
16384,1521744.19,17086182,44492108,16686364,141030
16384,1535200.46,16953584,44473956,16682930,128151
16384,1519303.43,17116632,44449876,16671586,191634
16384,1538631.20,16998097,44463441,16669425,132972
16384,1490686.74,17266348,44458489,16663827,273557
16384,1518169.30,17060876,44484975,16675535,181945
32768,1440522.81,17201408,43601985,16392421,567238
32768,1514738.45,17204682,43603270,16388411,539685
32768,1428006.96,17284366,43603825,16392941,564337
32768,1536944.60,17294649,43618643,16401344,573099
32768,1510453.42,17241689,43618299,16399415,570968
32768,1424544.17,17245964,43588811,16388197,571494
65536,1405737.48,17790848,43633212,16390414,648165
65536,1554527.45,17717005,43656771,16401742,642417
65536,1477130.17,17729513,43652815,16395975,651950
65536,1383007.29,17719023,43633670,16388747,656197
65536,1377430.43,17749283,43646562,16394070,653665
65536,1810046.15,17974526,43627225,16390710,655217
131072,2028508.60,17903728,43693019,16406934,647181
131072,1564771.77,17744648,43713709,16408209,634735
131072,1371894.19,17859498,43722648,16421321,669111
131072,1913699.93,17919581,43730089,16415670,637351
131072,1398776.66,17821000,43746809,16424241,639179
131072,1369867.79,17849350,43735108,16417485,650879
262144,1423068.60,18344472,44703383,16717058,647588
262144,1394031.33,18413780,44747510,16732070,652701
262144,1335398.00,18310065,44701382,16717916,640139
262144,1430921.67,18328010,44725829,16720047,656648
262144,1436754.09,18330732,44715324,16714955,649877
262144,1489452.03,18319258,44714516,16717953,646254
524288,1376806.69,18966571,45864448,17068519,655245
524288,1273871.98,19194636,45842908,17058936,657936
524288,1379017.11,19018572,45827822,17053767,648512
524288,1269293.89,19266118,45855311,17063708,648760
524288,1337422.85,19248144,45857508,17068141,652212
524288,1278583.01,19094812,45846628,17062402,673813
1048576,1232811.70,20975056,48148020,17761695,679112
1048576,1219170.21,21918081,48156782,17766104,676706
1048576,1150944.91,23071467,48202728,17775477,664615
1048576,1298174.71,20230104,48137001,17753107,683212
1048576,1285777.84,20335011,48156875,17760976,675195
1048576,1263556.57,21324672,48153834,17759269,677169
2097152,1127187.24,25730604,52746445,19150562,699058
2097152,1019829.78,25212235,52772447,19158179,694310
2097152,1047968.73,26118982,52759034,19154624,680615
2097152,1060412.37,24732337,52738391,19150962,679150
2097152,980915.84,24913973,52736882,19147835,689103
2097152,1054862.02,25851153,52763346,19155628,705478
4194304,785662.46,37890438,61923709,21921193,702407
4194304,750580.27,38083875,61943084,21936040,695497
4194304,775697.08,38804194,61961760,21945336,705990
4194304,737680.40,39870523,61994109,21954440,710529
4194304,783376.93,40019573,61955060,21940315,701686
4194304,785925.21,38464218,61956645,21942187,712187
8388608,736979.83,48283894,80318815,27503717,730427
8388608,674696.13,48325069,80468872,27541309,725678
8388608,706432.58,49636962,80319000,27505679,737150
8388608,634262.76,48959919,80372180,27519337,723293
8388608,654151.24,48496967,80374878,27512554,729479
8388608,671411.00,47588898,80340463,27502435,730254
16777216,521500.83,61373340,117274218,38671758,787278
16777216,536457.89,61456244,117373119,38705768,782086
16777216,534869.07,62416617,117333707,38689224,791265
16777216,538171.31,61621762,117140950,38634318,783344
16777216,548948.21,61475126,116912191,38578347,755014
16777216,543596.29,60815090,116936948,38583945,804735
