BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_ICACHE_ACCESS,L1_ICACHE_REFILL
1024,320158.22,108956176,251852914,81328509,320906
1024,315577.78,109458822,252206257,81425229,328285
1024,315401.68,108810232,251497827,81373047,323671
1024,220395.26,107933020,252682763,81489490,336600
1024,316584.95,109440489,252439306,81582244,335614
1024,336335.53,108828233,251381833,81168992,306986
2048,545153.53,60495437,140360066,45573658,108058
2048,535252.32,62041365,145788261,47229355,129636
2048,542694.71,61876748,145425047,47214941,131469
2048,546634.19,61344528,142260695,46096691,107650
2048,532794.53,61909355,145649266,47237085,134100
2048,539254.97,61507214,146059662,47405382,128695
4096,826657.43,37927858,77679085,24765325,115844
4096,836283.22,38325247,78189313,24950910,111825
4096,810464.15,36930283,78065368,24911821,117241
4096,868473.56,36446579,76990673,24558039,112270
4096,809589.82,36236717,77508691,24744784,122814
4096,808014.90,38407300,78658187,25112864,118005
8192,1233473.30,19761893,44761984,14122358,83015
8192,1344154.05,19476242,44369226,13997460,81371
8192,1365031.39,19770831,44781441,14141384,85406
8192,1321317.48,19317452,44437774,14036645,79530
8192,1360158.77,19412016,44490801,14040301,84629
8192,1244984.57,19635171,44596232,14063819,82618
16384,2094937.84,11511631,24981892,7759823,56952
16384,2162455.19,11710322,25241091,7807217,56088
16384,2045207.54,11646928,25214746,7868058,56221
16384,2233093.56,11582720,25021969,7782549,59157
16384,2048517.88,11568763,25142369,7781413,59049
16384,2070929.53,11450837,25002142,7750798,57884
32768,2886641.46,7670357,15707591,4770837,49951
32768,2856473.48,7748025,15853602,4856107,55312
32768,2969528.73,7539532,15636710,4761192,50120
32768,2903885.34,7537469,15710123,4742933,52313
32768,2854796.16,7625042,15767175,4794578,54888
32768,2822726.11,7859168,15881952,4815488,53517
65536,2659499.87,8937610,17569301,5428936,27992
65536,2557113.62,9093236,17687751,5413865,30200
65536,2587710.66,9071041,17504371,5390040,24658
65536,2597732.49,9003650,17542145,5380774,25114
65536,2675819.51,8913067,17371598,5346045,24048
65536,2643211.28,9050049,17549876,5393801,29523
131072,2878330.71,8350720,15896582,4837416,35082
131072,2674744.04,8459748,16050073,4872597,34119
131072,2755988.13,8646494,15945623,4877808,37567
131072,2857202.08,8391127,15821214,4907558,33330
131072,4037725.44,9087146,15635612,4774164,24110
131072,3315837.23,8593070,15936885,4861788,33082
262144,2736874.31,8849142,16267846,4981445,38525
262144,2568531.56,8714489,16255115,4959996,40065
262144,2673854.33,8665831,16257154,4946712,38772
262144,2680269.90,8637362,16219519,4926168,40853
262144,2777461.79,8578524,16316685,4974638,39092
262144,2599022.38,8617724,16329750,4962850,39519
524288,2522260.20,9274257,16416569,5016314,36879
524288,2491574.78,9226888,16513172,5039340,35213
524288,2516499.48,9117123,16407033,4999458,34165
524288,2579878.46,9178990,16580320,5078006,39424
524288,2565849.81,8960304,16427470,4972719,35187
524288,2529688.48,9095980,16369158,5011619,34924
1048576,2345834.21,10303158,17196720,5239824,28446
1048576,2275274.97,10325326,17410802,5300306,30943
1048576,1166437.74,24103472,17234307,5229196,26302
1048576,1175074.66,23191446,17033853,5179422,26485
1048576,1194830.26,20834462,16947670,5113741,26874
1048576,2263603.15,10938217,17393748,5315653,30283
2097152,1687021.83,15860498,19941199,6071213,31307
2097152,1191743.41,23618630,20075108,6115743,34225
2097152,1364778.83,17707811,19832009,6107447,30147
2097152,1652292.79,15819601,19866912,6127396,30494
2097152,1723010.57,14353054,19775894,6055331,27163
2097152,1685203.13,14386333,19810675,6025768,28688
4194304,1100029.60,24679428,26008615,8048570,50550
4194304,1176133.73,22460816,25920551,8010087,47891
4194304,1117755.85,26227781,25990774,8015683,51946
4194304,1271471.74,28946583,25989597,7983789,49011
4194304,1155467.98,23621197,26289605,8123993,50305
4194304,1071065.08,25663377,26034086,8029013,48815
8388608,838619.35,33474789,38551287,11991278,87540
8388608,825458.10,35785213,38533706,11994413,89033
8388608,809423.91,36854606,38735982,12057504,88199
8388608,827489.31,35492933,38463849,11965072,86151
8388608,805562.78,36947791,38631412,12024208,86898
8388608,864879.03,38979884,38545875,11972219,91606
16777216,611163.75,52406933,63307180,19803143,153493
16777216,601050.76,52103101,63330072,19882106,166996
16777216,604190.38,53787484,62961425,19736647,156700
16777216,597776.79,53037641,63345641,19871672,161897
16777216,578480.06,56231304,63257445,19806102,156150
16777216,613178.69,52085875,63432439,19855326,163328
